,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description
221,Catch Me If You Can,2002,141,8.1,75,164.62,"10,36,993","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
222,Ford v Ferrari,2019,152,8.1,81,117.62,"4,29,128",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
223,The Big Lebowski,1998,117,8.1,71,17.5,"8,33,531","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
224,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,381.01,"9,10,308","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
225,Ah-ga-ssi,2016,145,8.1,85,2.01,"1,60,072","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
226,Ratatouille,2007,111,8.1,96,206.45,"7,79,088",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
227,La haine,1995,98,8.1,,0.31,"1,84,444",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
228,The Help,2011,146,8.1,62,169.71,"4,76,372","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
229,Logan,2017,137,8.1,77,226.28,"7,97,391","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
230,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88,54.51,"5,31,697",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
231,Fargo,1996,98,8.1,86,24.61,"6,98,098",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
232,Inside Out,I 2015,95,8.1,94,356.46,"7,46,886","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
233,Rocky,1976,120,8.1,70,117.24,"6,05,128",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
234,Dead Poets Society,1989,128,8.1,79,95.86,"5,16,660",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
235,The Wizard of Oz,1939,102,8.1,92,2.08,"4,14,083","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
236,Salinui chueok,2003,131,8.1,82,0.01,"1,99,792","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
237,Into the Wild,2007,148,8.1,73,18.35,"6,39,564","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
238,Warrior,2011,140,8.1,71,13.66,"4,85,065","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
239,Trainspotting,1996,93,8.1,83,16.5,"7,05,757","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
240,Spotlight,I 2015,129,8.1,93,45.06,"4,86,300","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
241,Platoon,1986,120,8.1,92,138.53,"4,26,296","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
242,"Monsters, Inc.",2001,92,8.1,79,289.92,"9,42,241","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
243,Before Sunrise,1995,101,8.1,77,5.54,"3,24,483","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
244,Rush,I 2013,123,8.1,74,26.95,"4,95,815",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
245,"Lock, Stock and Two Smoking Barrels",1998,107,8.1,66,3.9,"5,99,221","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
246,Room,I 2015,118,8.1,86,14.68,"4,35,564","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
247,Portrait de la jeune fille en feu,2019,122,8.1,95,3.76,"1,00,794","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
248,The Deer Hunter,1978,183,8.1,86,48.98,"3,49,246",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
249,The Sound of Music,1965,172,8.1,63,163.21,"2,47,286",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
250,How to Train Your Dragon,2010,98,8.1,75,217.58,"7,69,718","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
251,12 Years a Slave,2013,134,8.1,96,56.67,"7,21,010","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
252,Barry Lyndon,1975,185,8.1,89,188,"1,75,642",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
253,Cool Hand Luke,1967,127,8.1,92,16.22,"1,83,447","A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
254,Raging Bull,1980,129,8.1,90,23.38,"3,66,488","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
255,Million Dollar Baby,2004,132,8.1,86,100.49,"7,04,185","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
256,"Paris, Texas",1984,145,8.1,81,2.18,"1,11,924","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
257,Gran Torino,2008,116,8.1,72,148.1,"7,94,579","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
258,Fa yeung nin wah,2000,98,8.1,87,2.73,"1,58,620","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
259,Stalker,1979,162,8.1,85,0.23,"1,39,553",A guide leads two men through an area known as the Zone to find a room that grants wishes.
260,Tonari no Totoro,1988,86,8.1,86,1.11,"3,57,787","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
261,The Red Shoes,1948,135,8.1,,10.9,"37,278",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
262,In the Name of the Father,1993,133,8.1,84,25.01,"1,81,367",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
263,Hachi: A Dog's Tale,2009,93,8.1,,236,"2,98,283",A college professor bonds with an abandoned dog he takes into his home.
264,Network,1976,121,8.1,83,#222,"1,64,777","A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
265,Ben-Hur,1959,212,8.1,90,74.7,"2,46,746","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
266,The Iron Giant,1999,86,8.1,85,23.16,"2,13,283",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
267,Det sjunde inseglet,1957,96,8.1,88,206,"1,91,678","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
268,Before Sunset,2004,80,8.1,91,5.82,"2,76,929","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
269,Relatos salvajes,2014,122,8.1,77,3.11,"2,07,584",Six short stories that explore the extremities of human behavior involving people in distress.
270,Koe no katachi,2016,130,8.1,78,,"92,088","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
271,Persona,1966,85,8.1,86,246,"1,25,251",A nurse is put in charge of a mute actress and finds that their personae are melding together.
272,The Third Man,1949,104,8.1,97,0.45,"1,76,630","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
273,On the Waterfront,1954,108,8.1,91,9.6,"1,59,807","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
274,The Bridge on the River Kwai,1957,161,8.1,87,44.91,"2,27,269","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
275,Amores perros,2000,154,8.1,83,5.38,"2,46,958","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
276,Rebecca,1940,130,8.1,86,4.36,"1,41,999",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
277,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,,,"59,685",Concurrent theatrical ending of the TV series Shinseiki Evangelion (1995).
278,Hotel Rwanda,2004,121,8.1,79,23.53,"3,64,032","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
279,The Man Who Shot Liberty Valance,1962,123,8.1,94,,"79,606",A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
280,Paper Moon,1973,102,8.1,77,30.93,"50,319","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
281,Smultronstället,1957,91,8.1,88,193,"1,11,057","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
282,It Happened One Night,1934,105,8.1,87,4.36,"1,08,280","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
283,Mary and Max.,2009,92,8.1,,204,"1,82,146","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
284,The Best Years of Our Lives,1946,170,8.1,93,23.65,"67,840","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
285,Festen,1998,105,8.1,82,1.65,"90,734","At Helge's 60th birthday party, some unpleasant family truths are revealed."
286,PK,2014,153,8.1,,10.62,"1,94,559",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
287,All Quiet on the Western Front,1930,152,8.1,91,3.27,"65,838","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
288,Fanny och Alexander,1982,188,8.1,100,4.97,"65,764","Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
289,Les quatre cents coups,1959,99,8.1,,244,"1,23,388","A young boy, left without attention, delves into a life of petty crime."
290,The Grapes of Wrath,1940,129,8.1,96,0.06,"96,978","An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
291,Trois couleurs: Rouge,1994,99,8.1,100,4.04,"1,07,010",A model discovers a retired judge is keen on invading people's privacy.
292,A Woman Under the Influence,1974,155,8.1,88,13.34,"27,173","Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
293,Yi yi,2000,173,8.1,94,1.14,"26,696",Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
294,Andrei Rublev,1966,205,8.1,,0.1,"55,562","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
295,The Message,1976,177,8.1,,,"49,399",This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
296,Underground,1995,170,8.1,79,0.17,"59,881","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
297,Masaan,2015,109,8.1,,,"29,630","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
298,Lagaan: Once Upon a Time in India,2001,224,8.1,84,0.07,"1,17,612",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
299,La battaglia di Algeri,1966,121,8.1,96,0.06,"63,112","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
300,Inherit the Wind,1960,128,8.1,75,,"31,726","Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
301,Ôkami kodomo no Ame to Yuki,2012,117,8.1,71,,"47,386","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
302,Ba wang bie ji,1993,171,8.1,83,5.22,"31,226",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
303,Kis Uykusu,2014,196,8.1,88,0.17,"53,610",A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
304,Mr. Smith Goes to Washington,1939,129,8.1,73,9.6,"1,18,422","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
305,White Heat,1949,114,8.1,,,"34,583",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
306,The General,1926,78,8.1,,1.03,"94,849","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
307,Kakushi-toride no san-akunin,1958,139,8.1,89,,"40,781","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
308,Kumonosu-jô,1957,110,8.1,,,"54,212","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
309,Le notti di Cabiria,1957,110,8.1,,0.75,"50,686",A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
310,Jungfrukällan,1960,89,8.1,,1.53,"30,615","In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
311,Dil Chahta Hai,2001,183,8.1,,0.3,"74,200","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
312,Ace in the Hole,1951,111,8.1,72,3.97,"37,836","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
313,Talvar,2015,132,8.1,,0.34,"36,804",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
314,Du rififi chez les hommes,1955,118,8.1,97,0.06,"35,854","Four men plan a technically perfect crime, but the human element intervenes..."
315,Barfi!,2012,151,8.1,,2.8,"84,517",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
316,Udaan,2010,134,8.1,,0.01,"46,115","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
317,Les diaboliques,1955,117,8.1,,1.09,"67,729",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
318,The Gold Rush,1925,95,8.1,,5.45,"1,14,932","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
319,Höstsonaten,1978,99,8.1,,,"36,229","A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
320,Bajrangi Bhaijaan,2015,163,8.1,,8.18,"92,930",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
321,A Wednesday,2008,104,8.1,,,"80,579",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
322,Rang De Basanti,2006,167,8.1,,2.2,"1,20,874","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
323,Kahaani,2012,122,8.1,,1.04,"64,355","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
324,Sholay,1975,204,8.1,,,"57,436","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
325,Sunrise: A Song of Two Humans,1927,94,8.1,95,0.54,"52,638","A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
326,Da hong denglong gaogao gua,1991,125,8.1,,2.6,"34,188","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
327,Dom za vesanje,1988,142,8.1,,0.28,"31,880","In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
328,Queen,2013,146,8.1,,1.43,"67,312",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
329,La Grande Illusion,1937,113,8.1,,0.17,"37,887","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
330,Article 15,2019,130,8.1,,,"35,490","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
331,OMG: Oh My God!,2012,125,8.1,,0.92,"61,292",A shopkeeper takes God to court when his shop is destroyed by an earthquake.
332,Pink,III 2016,136,8.1,,1.24,"46,744","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
333,Jean de Florette,1986,120,8.1,,4.94,"26,827",A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
334,Munna Bhai M.B.B.S.,2003,156,8.1,,,"85,192",A gangster sets out to fulfill his father's dream of becoming a doctor.
335,Mandariinid,2013,87,8.1,73,0.14,"47,771","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
336,Sarfarosh,1999,174,8.1,,,"26,353","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
337,The Circus,1928,72,8.1,90,,"35,081",The Tramp finds work and the girl of his dreams at a circus.
338,Hera Pheri,2000,156,8.1,,,"70,007","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
339,Eskiya,1996,128,8.1,,,"71,111","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
340,Chak De! India,2007,153,8.1,68,1.11,"82,653","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
341,Black,2005,122,8.1,,0.73,"35,570","The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
342,Her Sey Çok Güzel Olacak,1998,107,8.1,,,"26,551","When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
343,Anand,1971,122,8.1,,,"34,607","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
344,Mission: Impossible - Dead Reckoning Part One,2023,163,8,81,,"1,10,366",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
345,Dune: Part One,2021,155,8,74,108.33,"7,00,476",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
346,Blade Runner 2049,2017,164,8,81,92.05,"6,15,385","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
347,La La Land,2016,128,8,94,151.1,"6,25,365","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
348,Guardians of the Galaxy,2014,121,8,76,333.18,"12,33,511",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
349,The Imitation Game,2014,114,8,71,91.13,"7,96,469","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
350,The Revenant,I 2015,156,8,76,183.64,"8,36,807",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
351,The Martian,2015,144,8,80,228.43,"8,88,025","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
352,Deadpool,2016,108,8,65,363.07,"10,79,838","A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
353,The Princess Bride,1987,98,8,77,30.86,"4,38,629","A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
354,CODA,2021,111,8,72,,"1,49,834","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
355,Black Swan,2010,108,8,79,106.95,"7,95,010","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
356,Donnie Darko,2001,113,8,88,1.48,"8,25,457","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
357,Rosemary's Baby,1968,137,8,96,,"2,25,405","A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
358,The Avengers,2012,143,8,69,623.28,"14,26,050",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
359,Her,2013,126,8,91,25.57,"6,42,655","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
360,JFK,1991,189,8,72,70.41,"1,63,659",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
361,Zootopia,2016,108,8,78,341.27,"5,22,567","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
362,The Incredibles,2004,115,8,90,261.44,"7,72,122","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
363,Sin City,2005,124,8,74,74.1,"7,81,917","An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
364,Casino Royale,2006,144,8,80,167.45,"6,75,695","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
365,Rain Man,1988,133,8,65,178.8,"5,30,976","After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
366,Scent of a Woman,1992,156,8,59,63.9,"3,14,155","A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
367,Magnolia,1999,188,8,78,22.46,"3,21,223","An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
368,Dances with Wolves,1990,181,8,72,184.21,"2,79,380","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
369,Soul,2020,100,8,83,,"3,52,258","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
370,The Pursuit of Happyness,2006,117,8,64,163.57,"5,37,225",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
371,Big Fish,2003,125,8,58,66.26,"4,50,162",A frustrated son tries to determine the fact from fiction in his dying father's life.
372,Aladdin,1992,90,8,86,217.35,"4,43,751",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
373,Groundhog Day,1993,101,8,72,70.91,"6,57,183","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
374,Twelve Monkeys,1995,129,8,74,57.14,"6,32,578","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
375,Planet of the Apes,1968,112,8,79,33.4,"1,86,673",An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
376,Young Frankenstein,1974,106,8,83,86.3,"1,63,912","An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
377,Kill Bill: Vol. 2,2004,137,8,83,66.21,"7,79,726","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
378,Pâfekuto burû,1997,81,8,67,0.78,"86,050","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
379,The Graduate,1967,106,8,83,104.95,"2,82,028",A disillusioned college graduate finds himself torn between his older lover and her daughter.
380,The King's Speech,2010,118,8,88,138.8,"6,94,785","The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
381,Blood Diamond,2006,143,8,64,57.37,"5,68,384","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
382,Slumdog Millionaire,2008,120,8,84,141.32,"8,62,246","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
383,Contratiempo,2016,106,8,,,"1,84,819",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
384,Dog Day Afternoon,1975,125,8,86,50,"2,66,106","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
385,Beauty and the Beast,1991,84,8,95,218.97,"4,67,789",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
386,Akira,1988,124,8,67,0.55,"1,95,907","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
387,Do the Right Thing,1989,120,8,93,27.55,"1,07,768","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
388,The Bourne Ultimatum,2007,115,8,85,227.47,"6,47,042",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
389,Dogville,2003,178,8,61,1.53,"1,54,110","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
390,Life of Brian,1979,94,8,77,20.05,"4,12,019","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
391,Papillon,1973,151,8,58,53.27,"1,34,978","A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
392,Lion,2016,118,8,69,51.74,"2,44,006","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
